Height_cm,Weight_kg,BMI,Category,Health_Percentage,Exercises
166,69,25.04,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
197,72,18.55,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
196,56,14.58,Underweight,60,"Weight gain exercises (e.g., strength training)"
149,101,45.49,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
189,43,12.04,Underweight,60,"Weight gain exercises (e.g., strength training)"
175,75,24.49,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
165,94,34.53,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
182,94,28.38,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
146,69,32.37,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
183,91,27.17,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
170,41,14.19,Underweight,60,"Weight gain exercises (e.g., strength training)"
194,65,17.27,Underweight,60,"Weight gain exercises (e.g., strength training)"
152,70,30.3,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
184,71,20.97,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
147,99,45.81,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
181,84,25.64,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
157,40,16.23,Underweight,60,"Weight gain exercises (e.g., strength training)"
177,115,36.71,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
174,68,22.46,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
163,56,21.08,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
157,53,21.5,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
171,51,17.44,Underweight,60,"Weight gain exercises (e.g., strength training)"
165,62,22.77,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
164,74,27.51,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
190,63,17.45,Underweight,60,"Weight gain exercises (e.g., strength training)"
199,96,24.24,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
200,114,28.5,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
199,90,22.73,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
149,107,48.2,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
197,91,23.45,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
157,84,34.08,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
163,73,27.48,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
163,86,32.37,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
158,52,20.83,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
199,55,13.89,Underweight,60,"Weight gain exercises (e.g., strength training)"
196,100,26.03,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
158,61,24.44,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
195,82,21.56,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
171,76,25.99,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
177,105,33.52,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
178,67,21.15,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
158,73,29.24,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
197,118,30.41,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
193,62,16.64,Underweight,60,"Weight gain exercises (e.g., strength training)"
148,85,38.81,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
153,110,46.99,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
186,65,18.79,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
141,48,24.14,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
180,71,21.91,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
193,105,28.19,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
173,45,15.04,Underweight,60,"Weight gain exercises (e.g., strength training)"
172,50,16.9,Underweight,60,"Weight gain exercises (e.g., strength training)"
200,50,12.5,Underweight,60,"Weight gain exercises (e.g., strength training)"
174,93,30.72,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
177,69,22.02,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
188,107,30.27,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
146,114,53.48,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
178,112,35.35,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
174,101,33.36,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
170,80,27.68,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
142,59,29.26,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
145,54,25.68,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
184,64,18.9,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
167,51,18.29,Underweight,60,"Weight gain exercises (e.g., strength training)"
188,93,26.31,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
191,82,22.48,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
193,63,16.91,Underweight,60,"Weight gain exercises (e.g., strength training)"
166,73,26.49,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
158,59,23.63,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
143,66,32.28,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
176,53,17.11,Underweight,60,"Weight gain exercises (e.g., strength training)"
167,93,33.35,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
195,93,24.46,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
166,43,15.6,Underweight,60,"Weight gain exercises (e.g., strength training)"
182,74,22.34,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
152,60,25.97,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
161,62,23.92,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
155,96,39.96,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
178,56,17.67,Underweight,60,"Weight gain exercises (e.g., strength training)"
143,59,28.85,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
165,62,22.77,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
151,64,28.07,Overweight,70,"Weight loss exercises (e.g., cardio, HIIT)"
194,41,10.89,Underweight,60,"Weight gain exercises (e.g., strength training)"
184,112,33.08,Obese,50,"Weight loss exercises (e.g., cardio, HIIT)"
159,45,17.8,Underweight,60,"Weight gain exercises (e.g., strength training)"
178,59,18.62,Normal,90,"Maintain with balanced exercises (e.g., yoga, walking)"
